City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bilibino,RU,68.0546,166.4372,-18.76,99,100,2.89,overcast clouds
1,Souillac,MU,-20.5167,57.5167,79.36,73,40,8.05,scattered clouds
2,Bengkulu,ID,-3.8004,102.2655,74.97,91,100,8.28,overcast clouds
3,Quatre Cocos,MU,-20.2078,57.7625,79.09,70,28,12.66,scattered clouds
4,Saint-Philippe,RE,-21.3585,55.7679,76.59,79,38,10.04,scattered clouds
5,Broome,US,42.2506,-75.833,43.18,58,40,1.99,scattered clouds
6,Trincomalee,LK,8.5711,81.2335,81.18,75,4,5.26,clear sky
7,East London,ZA,-33.0153,27.9116,69.78,98,100,7.4,very heavy rain
8,Tasiilaq,GL,65.6145,-37.6368,30.27,83,97,35.5,light snow
9,Cockburn Town,TC,21.4612,-71.1419,80.55,75,49,19.28,scattered clouds
10,Hilo,US,19.7297,-155.09,77.29,94,90,4.61,moderate rain
11,Nikolskoye,RU,59.7035,30.7861,3.02,96,13,5.28,few clouds
12,Maldonado,UY,-34.6667,-54.9167,67.39,72,96,12.73,overcast clouds
13,Besenyotelek,HU,47.7,20.4333,37.18,98,100,7.9,light rain
14,Mitu,CO,1.1983,-70.1733,89.58,51,57,2.3,broken clouds
15,Thinadhoo,MV,0.5333,72.9333,81.91,80,100,19.44,overcast clouds
16,La Orilla,MX,17.9833,-102.2333,84.74,59,14,6.11,few clouds
17,Vizinga,RU,61.0749,50.1031,-15.27,98,15,3.58,few clouds
18,Ushuaia,AR,-54.8,-68.3,46.06,71,75,18.41,light intensity drizzle
19,Cherskiy,RU,68.75,161.3,-46.66,100,83,4.85,broken clouds
20,Rikitea,PF,-23.1203,-134.9692,75.76,75,98,7.85,overcast clouds
21,Kapaa,US,22.0752,-159.319,73.72,75,20,1.01,light rain
22,Busselton,AU,-33.65,115.3333,61.05,83,29,15.75,scattered clouds
23,Mar Del Plata,AR,-38.0023,-57.5575,68.02,82,20,11.99,few clouds
24,Avarua,CK,-21.2078,-159.775,80.65,83,20,6.91,light rain
25,Maroantsetra,MG,-15.4333,49.7333,76.33,85,42,3.71,light rain
26,Santa Rosa,PH,14.3122,121.1114,75.18,83,53,7.72,broken clouds
27,Praya,CV,14.9215,-23.5087,75.74,73,0,14.97,clear sky
28,Hobart,AU,-42.8794,147.3294,51.26,75,90,5.75,overcast clouds
29,Evensk,RU,61.95,159.2333,-15.32,81,15,6.82,few clouds
30,Byron Bay,AU,-28.65,153.6167,70.05,88,84,6.2,broken clouds
31,Geraldton,AU,-28.7667,114.6,68.41,83,3,14.97,clear sky
32,Yellowknife,CA,62.456,-114.3525,-17.72,84,20,9.22,few clouds
33,Komsomolskiy,UZ,40.4272,71.7189,41.72,75,100,0.0,mist
34,Yichun,CN,47.7,128.9,23.76,89,100,5.23,overcast clouds
35,Faanui,PF,-16.4833,-151.75,80.46,73,84,17.09,broken clouds
36,Puerto Ayora,EC,-0.7393,-90.3518,76.96,82,67,9.71,broken clouds
37,Suihua,CN,46.6406,126.9969,16.7,94,100,6.85,snow
38,Longyearbyen,SJ,78.2186,15.6401,15.64,73,75,11.5,broken clouds
39,Jizan,SA,17.3333,42.6667,78.89,67,0,2.68,clear sky
40,Lompoc,US,34.6391,-120.4579,77.09,57,1,11.01,clear sky
41,Thompson,CA,55.7435,-97.8558,-14.64,70,20,9.22,few clouds
42,Atuona,PF,-9.8,-139.0333,78.48,75,8,21.05,light rain
43,Albany,US,42.6001,-73.9662,43.45,51,94,1.01,overcast clouds
44,Kabalo,CD,-6.05,26.9167,70.59,97,97,3.47,light rain
45,Severo-Kurilsk,RU,50.6789,156.125,31.12,75,95,24.99,overcast clouds
46,Biedenkopf,DE,50.9167,8.5333,35.92,98,100,1.74,overcast clouds
47,Kaeo,NZ,-35.1,173.7833,70.32,93,71,7.09,broken clouds
48,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,69,75,5.01,broken clouds
49,Port Alfred,ZA,-33.5906,26.891,69.4,95,100,9.84,light rain
50,Torbay,CA,47.6666,-52.7314,36.57,63,20,10.36,few clouds
51,Isangel,VU,-19.55,169.2667,77.92,83,94,9.91,overcast clouds
52,Junction City,US,39.0286,-96.8314,62.62,53,1,3.0,clear sky
53,Cape Town,ZA,-33.9258,18.4232,63.12,90,90,4.0,light intensity drizzle
54,Hare Bay,CA,48.8499,-54.0148,33.19,60,72,7.58,broken clouds
55,Srednekolymsk,RU,67.45,153.6833,-48.64,99,70,4.92,broken clouds
56,Sitka,US,57.0531,-135.33,35.49,75,90,9.22,light snow
57,Hobyo,SO,5.3505,48.5268,79.18,75,8,17.74,clear sky
58,Butaritari,KI,3.0707,172.7902,82.02,81,100,13.98,light rain
59,Beringovskiy,RU,63.05,179.3167,7.48,83,100,42.77,overcast clouds
60,Punta Arenas,CL,-53.15,-70.9167,57.31,35,40,28.77,scattered clouds
61,Coquimbo,CL,-29.9533,-71.3436,64.13,72,40,13.8,scattered clouds
62,Sarbogard,HU,46.8869,18.6204,34.92,97,100,7.47,overcast clouds
63,Vaini,TO,-21.2,-175.2,77.16,94,75,8.05,broken clouds
64,Pontes E Lacerda,BR,-15.2261,-59.3353,84.33,72,96,3.31,heavy intensity rain
65,Mataura,NZ,-46.1927,168.8643,47.48,95,100,2.26,overcast clouds
66,Pietersburg,ZA,-23.9045,29.4688,65.25,82,100,0.0,light rain
67,Castro,BR,-24.7911,-50.0119,73.0,62,95,4.59,overcast clouds
68,Taltal,CL,-25.4,-70.4833,68.61,61,27,7.29,scattered clouds
69,Fairlie,GB,55.756,-4.8556,32.11,74,30,4.85,scattered clouds
70,Norman Wells,CA,65.282,-126.8329,-17.09,83,49,5.06,scattered clouds
71,Clyde River,CA,70.4692,-68.5914,10.63,85,100,39.12,heavy snow
72,Dubai,AE,25.2582,55.3047,75.13,60,0,4.61,clear sky
73,Mecca,SA,21.4267,39.8261,76.69,68,1,3.24,clear sky
74,Bowling Green,US,36.9903,-86.4436,71.65,63,75,18.41,broken clouds
75,Vardo,NO,70.3705,31.1107,12.18,73,75,27.63,broken clouds
76,Bandarbeyla,SO,9.4942,50.8122,77.49,62,5,17.58,clear sky
77,Nara,JP,34.6851,135.8049,46.98,62,93,1.39,overcast clouds
78,Hirara,JP,24.8,125.2833,70.92,66,83,20.18,broken clouds
79,Bredasdorp,ZA,-34.5322,20.0403,62.28,93,100,5.39,light rain
80,Barrow,US,71.2906,-156.7887,10.42,67,40,14.97,scattered clouds
81,Conceicao Do Araguaia,BR,-8.2578,-49.2647,84.2,69,100,4.43,overcast clouds
82,Garden City,US,42.3256,-83.331,40.01,62,90,1.99,overcast clouds
83,Kodiak,US,57.79,-152.4072,26.11,100,90,0.0,overcast clouds
84,Chalmette,US,29.9427,-89.9634,80.01,63,40,5.99,scattered clouds
85,Yerbogachen,RU,61.2767,108.0108,-13.4,100,100,2.98,overcast clouds
86,Jaca,ES,42.569,-0.5499,39.02,95,55,10.07,light rain
87,Hermanus,ZA,-34.4187,19.2345,62.91,94,100,11.65,light rain
88,Pangnirtung,CA,66.1451,-65.7125,17.6,93,90,16.11,light snow
89,Port Hardy,CA,50.6996,-127.4199,35.76,93,90,2.3,overcast clouds
90,Lac Du Bonnet,CA,50.2536,-96.0612,25.7,85,100,7.63,overcast clouds
91,Vega De Alatorre,MX,20.0333,-96.6333,81.0,66,0,11.7,clear sky
92,Carnarvon,AU,-24.8667,113.6333,75.27,69,0,18.41,clear sky
93,Kruisfontein,ZA,-34.0033,24.7314,67.89,85,94,6.02,overcast clouds
94,Ballina,AU,-28.8667,153.5667,64.78,99,83,6.08,broken clouds
95,Victoria,HK,22.2855,114.1577,65.32,68,92,5.01,overcast clouds
96,Nanjing,CN,32.0617,118.7778,43.77,56,0,3.15,clear sky
97,Camacha,PT,33.0833,-16.3333,63.36,77,75,14.97,broken clouds
