City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Broome,US,43.18,scattered clouds,42.2506,-75.833,Chenango Valley State Park
8,Tasiilaq,GL,30.27,light snow,65.6145,-37.6368,The Red House
13,Besenyotelek,HU,37.18,light rain,47.7,20.4333,Hét Vezér Csárda-Panzió
33,Komsomolskiy,UZ,41.72,mist,40.4272,71.7189,Ikathouse
34,Yichun,CN,23.76,overcast clouds,47.7,128.9,锦江酒店
43,Albany,US,43.45,overcast clouds,42.6001,-73.9662,
45,Severo-Kurilsk,RU,31.12,overcast clouds,50.6789,156.125,Kak Doma
46,Biedenkopf,DE,35.92,overcast clouds,50.9167,8.5333,Lahn Hotel
50,Torbay,CA,36.57,few clouds,47.6666,-52.7314,Gallows Cove
54,Hare Bay,CA,33.19,broken clouds,48.8499,-54.0148,
56,Sitka,US,35.49,light snow,57.0531,-135.33,Westmark Sitka
62,Sarbogard,HU,34.92,overcast clouds,46.8869,18.6204,Balla István
69,Fairlie,GB,32.11,scattered clouds,55.756,-4.8556,Brisbane House Hotel
82,Garden City,US,40.01,overcast clouds,42.3256,-83.331,Quality Inn & Suites Banquet Center
83,Kodiak,US,26.11,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
86,Jaca,ES,39.02,light rain,42.569,-0.5499,Hotel Real Jaca & Spa
89,Port Hardy,CA,35.76,overcast clouds,50.6996,-127.4199,Airport Inn
90,Lac Du Bonnet,CA,25.7,overcast clouds,50.2536,-96.0612,Casey's Inn Motor Hotel
96,Nanjing,CN,43.77,clear sky,32.0617,118.7778,InterContinental Nanjing
102,Tigil,RU,21.15,snow,57.8,158.6667,Tigil'
111,Aksu,CN,31.24,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
129,Kamaishi,JP,38.39,clear sky,39.2667,141.8833,Hotel Route Inn Kamaishi
138,Olafsvik,IS,42.12,light rain,64.8945,-23.7142,Hotel Olafsvik
140,Upernavik,GL,27.75,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
141,Tangzhai,CN,42.49,clear sky,34.4328,116.5911,
146,Saint-Augustin,CA,23.45,overcast clouds,51.226,-58.6502,
149,Maniitsoq,GL,28.4,light snow,65.4167,-52.9,Hotel Heilmann Lyberth
157,Escanaba,US,30.94,snow,45.7453,-87.0646,Sunset Lodge
158,Saint-Francois,FR,39.67,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
160,Chunoyar,RU,26.71,light snow,57.4467,97.3217,
171,Rockford,US,35.19,light intensity drizzle,42.2711,-89.094,City Plaza Suites
173,Zabol,AF,37.36,clear sky,32.25,67.25,
176,Raudeberg,NO,35.2,overcast clouds,61.9875,5.1352,Nordre Silda.
179,Havre-Saint-Pierre,CA,24.8,broken clouds,50.2334,-63.5986,Auberge Niapiskau
183,Nemuro,JP,38.86,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
188,Sioux Lookout,CA,21.58,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
195,Jamestown,US,42.53,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
198,Olga,RU,29.23,clear sky,43.7444,135.2892,Gostinitsa Rosmorport.
199,Klaksvik,FO,32.92,scattered clouds,62.2266,-6.589,Airbnb rooms
202,Bonavista,CA,34.12,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
207,Mikhaylovka,RU,28.71,few clouds,50.06,43.2379,5 Komnat
224,Mount Gambier,AU,44.51,overcast clouds,-37.8333,140.7667,The Commodore
226,Murom,RU,27.19,overcast clouds,55.5656,42.0417,Volna Hotel
237,Honningsvag,NO,29.95,scattered clouds,70.9821,25.9704,Nordkapp Vandrerhjem
244,Tara,RU,30.38,light snow,56.8944,74.371,Medved'
251,Hastings,GB,43.81,scattered clouds,50.8552,0.5729,Zanzibar Hotel
257,Nanortalik,GL,28.36,light snow,60.1432,-45.2371,Hotel Kap Farvel
258,Dasoguz,TM,30.31,clear sky,41.8363,59.9666,Ташауз Отел
268,Huanan,CN,27.91,overcast clouds,46.2167,130.5167,Xilong Hotel
270,Yamada,JP,36.0,clear sky,39.4667,141.95,Iroha-ya Inn
279,Ilulissat,GL,33.82,broken clouds,69.2167,-51.1,Hotel Arctic
290,Narsaq,GL,28.62,overcast clouds,60.9167,-46.05,Sleep In Narsaq
296,Turkistan,KZ,42.75,overcast clouds,43.0,68.0,
311,Ardabil,IR,44.42,overcast clouds,38.2498,48.2933,Hostel ideal
330,Monki,PL,28.67,light snow,53.405,22.7979,Zajazd Mońki
332,Tawang,IN,39.29,overcast clouds,27.5833,91.8667,Hotel Mount View
337,Casper,US,23.72,snow,42.8666,-106.3131,Ramkota Hotel
340,Ayan,RU,21.94,overcast clouds,56.45,138.1667,Gostinitsa
346,Provideniya,RU,30.67,snow,64.3833,-173.3,
372,Paamiut,GL,26.6,snow,61.994,-49.6678,Pistut
383,Ranfurly,NZ,42.64,light rain,-45.1333,170.1,Ranfurly Holiday Park Motels & Cabins
384,Vawkavysk,BY,29.34,light snow,53.1561,24.4513,Krasnosiel'skii
395,Prince Rupert,CA,33.49,clear sky,54.3161,-130.3201,Crest Hotel
406,Yurga,RU,30.15,overcast clouds,55.7231,84.8861,Gostinitsa 12 Futov
410,Seoul,KR,31.44,clear sky,37.5683,126.9778,Lotte Hotel Seoul
